SapKundeId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
7700383178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.0,,1800.0,,2600.0,,,,,,,,
7700393087,5358.0,20795.0,3817.0,18274.0,2518.0,,,,10495.0,7583.0,3499.0,188902.0,20043.0,,,,,,,,5093.0,,359903.0,7299.0,163666.0,14697.0,,,15847.0,505959.0,1797.0,51360.0,,1099.0,,,,,22784.0,,,
7700430593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995.0,,,,,,,,,,,,,
7700465256,,,,,,,,,,,,,,,,,,,,,,,1295.0,,,,,,,,,,,,,,,,,,,
7700470198,,,,,,,,,,,,22784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700472596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955.0,,,,,,,,
7700475243,,,,1699.0,,,,,,,,10228.0,,,,,,,,,,,3395.0,,,199.0,,,5485.0,,,12500.0,1584.0,,,,,,1598.0,,599.0,
7700481185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56700.0
7700488027,,,,,,,,,,23920.0,,,,,,,,,,,,,,,,,,,,,,1899.0,,,,,,,,,,
7700509297,,,,,,,,,,,,,1495.0,,,,,,,,,,11070.0,,,,,,,,,1800.0,,2250.0,,,8880.0,,,,,
7700556314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,
7700559037,,,,,,,,,,3295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700580760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11046.0,,,,,,,,
7700582033,,,,,,,,,,,,,300.0,3599.0,6499.0,,,,,,,500.0,,3794.0,5193.0,,,,2299.0,6800.0,,3499.0,,,,,,,,,,
7700586641,,,,,,,,,,40800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700588284,10464.0,6452.0,2899.0,,3357.0,,7399.0,,,2780.0,,171219.0,1000.0,,,,,,,,3316.0,1195.0,9627.0,,24839.0,49666.0,,,,24998.0,,8282.0,,,,,,,13732.0,,,
7700596042,,,,,,,,,,,,,,,,,,,,,,,1299.0,,,,,,1299.0,,,,,,,,,,4898.0,,,
